YEAR,STATE,RATE
2019,AL,25.6
2019,AK,18.3
2019,AZ,18.5
2019,AR,30.0
2019,CA,12.4
2019,CO,13.9
2019,CT,7.7
2019,DE,14.9
2019,FL,16.2
2019,GA,19.7
2019,HI,15.7
2019,ID,14.9
2019,IL,14.6
2019,IN,20.8
2019,IA,14.1
2019,KS,19.2
2019,KY,24.9
2019,LA,27.8
2019,ME,9.1
2019,MD,13.9
2019,MA,6.9
2019,MI,15.1
2019,MN,10.1
2019,MS,29.1
2019,MO,20.3
2019,MT,16.3
2019,NE,15.3
2019,NV,18.9
2019,NH,6.6
2019,NJ,10.0
2019,NM,24.4
2019,NY,11.4
2019,NC,18.2
2019,ND,15.6
2019,OH,18.8
2019,OK,27.4
2019,OR,12.1
2019,PA,13.3
2019,RI,10.0
2019,SC,21.6
2019,SD,19.2
2019,TN,23.7
2019,TX,24.0
2019,UT,12.0
2019,VT,7.6
2019,VA,13.6
2019,WA,12.7
2019,WV,25.2
2019,WI,12.5
2019,WY,19.4
2018,AL,25.2
2018,AK,19.3
2018,AZ,20.1
2018,AR,30.4
2018,CA,13.6
2018,CO,14.3
2018,CT,8.3
2018,DE,16.7
2018,FL,16.7
2018,GA,20.6
2018,HI,17.2
2018,ID,16.0
2018,IL,15.8
2018,IN,21.8
2018,IA,15.3
2018,KS,20.0
2018,KY,27.3
2018,LA,27.5
2018,ME,11.1
2018,MD,14.1
2018,MA,7.2
2018,MI,15.8
2018,MN,10.2
2018,MS,27.8
2018,MO,21.6
2018,MT,17.2
2018,NE,16.7
2018,NV,20.5
2018,NH,8.0
2018,NJ,10.3
2018,NM,25.3
2018,NY,11.7
2018,NC,18.7
2018,ND,16.4
2018,OH,18.9
2018,OK,27.2
2018,OR,13.3
2018,PA,14.1
2018,RI,11.5
2018,SC,22.0
2018,SD,20.4
2018,TN,25.3
2018,TX,25.3
2018,UT,13.1
2018,VT,8.8
2018,VA,14.3
2018,WA,12.7
2018,WV,25.4
2018,WI,13.0
2018,WY,20.8
2017,AL,27.0
2017,AK,22.0
2017,AZ,22.0
2017,AR,32.8
2017,CA,15.1
2017,CO,16.1
2017,CT,8.8
2017,DE,18.5
2017,FL,18.2
2017,GA,21.9
2017,HI,19.1
2017,ID,18.6
