Location,Data,TimeFrame
Alabama,16000,2012
Alabama,17000,2011
Alabama,21000,2010
Alabama,19000,2009
Alabama,13000,2013
Alabama,26000,2007
Alabama,21000,2008
Alabama,22000,2005
Alabama,24000,2006
Alaska,3000,2006
Alaska,4000,2005
Alaska,4000,2008
Alaska,3000,2007
Alaska,2000,2013
Alaska,3000,2009
Alaska,3000,2010
Alaska,3000,2011
Alaska,2000,2012
Arizona,20000,2012
Arizona,24000,2011
Arizona,30000,2010
Arizona,27000,2009
Arizona,21000,2013
Arizona,34000,2007
Arizona,32000,2008
Arizona,28000,2005
Arizona,31000,2006
Arkansas,10000,2006
Arkansas,12000,2005
Arkansas,11000,2007
Arkansas,15000,2008
Arkansas,7000,2013
Arkansas,14000,2010
Arkansas,11000,2009
Arkansas,7000,2011
Arkansas,9000,2012
California,79000,2012
California,88000,2011
California,114000,2010
California,113000,2009
California,73000,2013
California,141000,2008
California,144000,2007
California,134000,2005
California,141000,2006
Colorado,23000,2006
Colorado,19000,2005
Colorado,18000,2007
Colorado,20000,2008
Colorado,11000,2013
Colorado,20000,2009
Colorado,15000,2010
Colorado,16000,2011
Colorado,11000,2012
Connecticut,6000,2012
Connecticut,7000,2011
Connecticut,8000,2010
Connecticut,9000,2009
Connecticut,6000,2013
Connecticut,10000,2008
Connecticut,8000,2007
Connecticut,7000,2005
Connecticut,8000,2006
Delaware,3000,2006
Delaware,4000,2005
Delaware,5000,2007
Delaware,4000,2008
Delaware,1000,2013
Delaware,3000,2009
Delaware,3000,2010
Delaware,3000,2011
Delaware,3000,2012
Florida,74000,2006
Florida,75000,2005
Florida,81000,2007
Florida,65000,2008
Florida,48000,2013
Florida,67000,2009
Florida,58000,2010
Florida,56000,2011
Florida,48000,2012
Georgia,34000,2012
Georgia,40000,2011
Georgia,43000,2010
Georgia,45000,2009
Georgia,33000,2013
Georgia,49000,2008
Georgia,57000,2007
Georgia,49000,2005
Georgia,52000,2006
Hawaii,4000,2006
Hawaii,2000,2005
Hawaii,3000,2007
Hawaii,5000,2008
Hawaii,2000,2013
Hawaii,5000,2009
Hawaii,3000,2010
Hawaii,3000,2011
Hawaii,3000,2012
Idaho,4000,2012
Idaho,4000,2011
Idaho,5000,2010
Idaho,6000,2009
Idaho,6000,2013
Idaho,6000,2008
Idaho,6000,2007
Idaho,7000,2005
Idaho,6000,2006
Illinois,41000,2006
Illinois,44000,2005
Illinois,45000,2007
Illinois,44000,2008
Illinois,25000,2013
Illinois,44000,2009
Illinois,37000,2010
Illinois,36000,2011
Illinois,26000,2012
Indiana,23000,2012
Indiana,23000,2011
Indiana,25000,2010
Indiana,27000,2009
Indiana,19000,2013
Indiana,25000,2007
Indiana,30000,2008
Indiana,28000,2006
Indiana,27000,2005
Iowa,8000,2005
Iowa,8000,2006
Iowa,7000,2007
Iowa,6000,2008
Iowa,5000,2013
Iowa,9000,2009
Iowa,8000,2010
Iowa,8000,2011
Iowa,6000,2012
Kansas,8000,2012
Kansas,7000,2011
Kansas,7000,2010
Kansas,8000,2009
Kansas,5000,2013
Kansas,8000,2008
Kansas,7000,2007
