SUMLEV,state,region,division,NAME,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,PPOPCHG_2000,PPOPCHG_2001,PPOPCHG_2002,PPOPCHG_2003,PPOPCHG_2004,PPOPCHG_2005,PPOPCHG_2006,NRANK_ESTBASE2000,NRANK_POPEST2000,NRANK_POPEST2001,NRANK_POPEST2002,NRANK_POPEST2003,NRANK_POPEST2004,NRANK_POPEST2005,NRANK_POPEST2006,NRANK_NPCHG2000,NRANK_NPCHG2001,NRANK_NPCHG2002,NRANK_NPCHG2003,NRANK_NPCHG2004,NRANK_NPCHG2005,NRANK_NPCHG2006,NRANK_PPCHG2000,NRANK_PPCHG2001,NRANK_PPCHG2002,NRANK_PPCHG2003,NRANK_PPCHG2004,NRANK_PPCHG2005,NRANK_PPCHG2006
10,0,0,0,United States,281424602,282216952,285226284,288125973,290796023,293638158,296507061,299398484,792350,3009332,2899689,2670050,2842135,2868903,2891423,0.281549656,1.066318653,1.016627556,0.926695352,0.977363779,0.977019819,0.9751616,,,,,,,,,,,,,,,,,,,,,,
40,1,3,6,Alabama,4447351,4452375,4466618,4477571,4495089,4517442,4548327,4599030,5024,14243,10953,17518,22353,30885,50703,0.112966123,0.319896684,0.24521909,0.391238911,0.497276027,0.683683377,1.114761538,23,23,22,23,23,23,23,23,31,30,36,30,30,22,16,40,41,44,39,38,25,18
40,2,4,9,Alaska,626931,627533,632241,640544,647747,656834,663253,670053,602,4708,8303,7203,9087,6419,6800,0.096023326,0.75023943,1.313265037,1.124512914,1.402862537,0.977263662,1.025249792,48,48,48,47,47,47,47,47,45,43,40,42,42,42,38,43,23,12,14,9,19,21
40,4,4,8,Arizona,5130632,5166693,5300366,5445333,5582252,5745674,5953007,6166318,36061,133673,144967,136919,163422,207333,213311,0.70285688,2.587206168,2.735037543,2.514428411,2.927528173,3.608506156,3.583247928,20,20,20,18,18,18,17,16,5,5,5,5,5,4,5,2,2,2,2,2,1,1
40,5,3,7,Arkansas,2673398,2678610,2691665,2706198,2723645,2746823,2775708,2810872,5212,13055,14533,17447,23178,28885,35164,0.194957878,0.487379648,0.539926031,0.644705229,0.850991961,1.051578496,1.266847954,33,33,33,33,33,32,32,32,30,31,33,31,28,23,23,27,34,33,26,21,18,16
40,6,4,9,California,33871653,34008499,34550466,35024517,35466365,35841254,36154147,36457549,136846,541967,474051,441848,374889,312893,303402,0.40401335,1.59362223,1.372053853,1.261539167,1.057026848,0.872996799,0.839190038,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,9,9,11,9,17,21,25
40,8,4,8,Colorado,4302015,4327409,4428562,4500122,4545957,4598507,4663295,4753377,25394,101153,71560,45835,52550,64788,90082,0.590281531,2.337495716,1.615874408,1.018527942,1.155972219,1.40889206,1.931724242,24,24,24,22,22,22,22,22,8,7,11,15,13,12,8,3,4,8,16,15,10,8
40,9,1,1,Connecticut,3405602,3412539,3433201,3457927,3482326,3493893,3500701,3504809,6937,20662,24726,24399,11567,6808,4108,0.203693796,0.605472934,0.720202517,0.705596156,0.332163043,0.194854279,0.117347926,29,29,29,29,29,29,29,29,27,27,25,26,38,41,41,24,30,27,24,44,44,43
40,10,3,5,Delaware,783600,786505,795450,805591,816861,828762,841741,853476,2905,8945,10141,11270,11901,12979,11735,0.37072486,1.137309998,1.274875856,1.398972928,1.456918619,1.566070838,1.3941343,45,45,45,45,45,45,45,45,36,37,38,36,36,32,32,12,16,14,7,8,9,15
40,11,3,5,District of Columbia,572059,571042,577357,578907,577476,579720,582049,581530,-1017,6315,1550,-1431,2244,2329,-519,-0.177778865,1.105873123,0.268464745,-0.247189963,0.388587578,0.40174567,-0.08916775,50,50,50,50,50,50,50,50,51,41,50,51,49,47,47,51,17,43,51,41,36,49
