"Notes"	"Gender"	"Gender Code"	"State"	"State Code"	"Age Group"	"Age Group Code"	"Year"	"Year Code"	Projected Populations
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2004"	"2004"	148659
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2005"	"2005"	148492
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2006"	"2006"	147010
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2007"	"2007"	146675
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2008"	"2008"	146441
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2009"	"2009"	146225
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2010"	"2010"	146076
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2011"	"2011"	145953
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2012"	"2012"	145811
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2013"	"2013"	145612
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2014"	"2014"	145331
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2015"	"2015"	144987
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2016"	"2016"	144656
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2017"	"2017"	144374
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2018"	"2018"	144194
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2019"	"2019"	144149
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2020"	"2020"	144267
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2021"	"2021"	144544
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2022"	"2022"	144988
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2023"	"2023"	145572
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2024"	"2024"	146295
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2025"	"2025"	147148
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2026"	"2026"	148076
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2027"	"2027"	149054
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2028"	"2028"	150086
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2029"	"2029"	151162
	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"	"2030"	"2030"	152260
"Total"	"Female"	"F"	"Alabama"	"01"	"0-4 years"	"0-4"			3958097
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2004"	"2004"	145777
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2005"	"2005"	145815
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2006"	"2006"	147377
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2007"	"2007"	148033
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2008"	"2008"	148603
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2009"	"2009"	149050
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2010"	"2010"	148972
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2011"	"2011"	147562
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2012"	"2012"	147305
